date,is_weekend,n,day_type
2019-04-01,FALSE,7560,Weekday
2019-04-02,FALSE,8696,Weekday
2019-04-03,FALSE,9217,Weekday
2019-04-04,FALSE,4675,Weekday
2019-04-05,FALSE,8616,Weekday
2019-04-06,TRUE,10132,Weekend
2019-04-07,TRUE,6604,Weekend
2019-04-08,FALSE,13947,Weekday
2019-04-09,FALSE,13327,Weekday
2019-04-10,FALSE,6212,Weekday
2019-04-11,FALSE,8699,Weekday
2019-04-12,FALSE,8604,Weekday
2019-04-13,TRUE,8363,Weekend
2019-04-14,TRUE,692,Weekend
2019-04-15,FALSE,8706,Weekday
2019-04-16,FALSE,12179,Weekday
2019-04-17,FALSE,12467,Weekday
2019-04-18,FALSE,6478,Weekday
2019-04-19,FALSE,6515,Weekday
2019-04-20,TRUE,8152,Weekend
2019-04-21,TRUE,13159,Weekend
2019-04-22,FALSE,14617,Weekday
2019-04-23,FALSE,11029,Weekday
2019-04-24,FALSE,12080,Weekday
2019-04-25,FALSE,12646,Weekday
2019-04-26,FALSE,13726,Weekday
2019-04-27,TRUE,1633,Weekend
2019-04-28,TRUE,6635,Weekend
2019-04-29,FALSE,5169,Weekday
2019-04-30,FALSE,4775,Weekday
2019-05-01,FALSE,8854,Weekday
2019-05-02,FALSE,6064,Weekday
2019-05-03,FALSE,10254,Weekday
2019-05-04,TRUE,11370,Weekend
2019-05-05,TRUE,16370,Weekend
2019-05-06,FALSE,10751,Weekday
2019-05-07,FALSE,8073,Weekday
2019-05-08,FALSE,10803,Weekday
2019-05-09,FALSE,11687,Weekday
2019-05-10,FALSE,11441,Weekday
2019-05-11,TRUE,5125,Weekend
2019-05-12,TRUE,4939,Weekend
2019-05-13,FALSE,12645,Weekday
2019-05-14,FALSE,14973,Weekday
2019-05-15,FALSE,16457,Weekday
2019-05-16,FALSE,13987,Weekday
2019-05-17,FALSE,9201,Weekday
2019-05-18,TRUE,10365,Weekend
2019-05-19,TRUE,9514,Weekend
2019-05-20,FALSE,12202,Weekday
2019-05-21,FALSE,8386,Weekday
2019-05-22,FALSE,17102,Weekday
2019-05-23,FALSE,17999,Weekday
2019-05-24,FALSE,11301,Weekday
2019-05-25,TRUE,16482,Weekend
2019-05-26,TRUE,12761,Weekend
2019-05-27,FALSE,7323,Weekday
2019-05-28,FALSE,10875,Weekday
2019-05-29,FALSE,14717,Weekday
2019-05-30,FALSE,16271,Weekday
2019-05-31,FALSE,19166,Weekday
2019-06-01,TRUE,11292,Weekend
2019-06-02,TRUE,16173,Weekend
2019-06-03,FALSE,15350,Weekday
2019-06-04,FALSE,15878,Weekday
2019-06-05,FALSE,16804,Weekday
2019-06-06,FALSE,16804,Weekday
2019-06-07,FALSE,18401,Weekday
2019-06-08,TRUE,18766,Weekend
2019-06-09,TRUE,9638,Weekend
2019-06-10,FALSE,17641,Weekday
2019-06-11,FALSE,19054,Weekday
2019-06-12,FALSE,11725,Weekday
2019-06-13,FALSE,14815,Weekday
2019-06-14,FALSE,18933,Weekday
2019-06-15,TRUE,7676,Weekend
2019-06-16,TRUE,9510,Weekend
2019-06-17,FALSE,15283,Weekday
