wday,wday_num,hour,n
Mon,1,0,1981
Mon,1,1,1186
Mon,1,2,640
Mon,1,3,474
Mon,1,4,977
Mon,1,5,5496
Mon,1,6,16535
Mon,1,7,37625
Mon,1,8,46284
Mon,1,9,20129
Mon,1,10,15274
Mon,1,11,19600
Mon,1,12,22570
Mon,1,13,21651
Mon,1,14,21497
Mon,1,15,27956
Mon,1,16,52624
Mon,1,17,76786
Mon,1,18,48363
Mon,1,19,30209
Mon,1,20,18529
Mon,1,21,12327
Mon,1,22,7402
Mon,1,23,3755
Tue,2,0,1827
Tue,2,1,901
Tue,2,2,457
Tue,2,3,362
Tue,2,4,1163
Tue,2,5,6537
Tue,2,6,20362
Tue,2,7,42994
Tue,2,8,51690
Tue,2,9,21217
Tue,2,10,14364
Tue,2,11,17411
Tue,2,12,20054
Tue,2,13,20187
Tue,2,14,19652
Tue,2,15,26027
Tue,2,16,52109
Tue,2,17,77884
Tue,2,18,49654
Tue,2,19,31908
Tue,2,20,20488
Tue,2,21,13868
Tue,2,22,8822
Tue,2,23,4737
Wed,3,0,2073
Wed,3,1,932
Wed,3,2,476
Wed,3,3,355
Wed,3,4,961
Wed,3,5,5910
Wed,3,6,18753
Wed,3,7,41764
Wed,3,8,51070
Wed,3,9,21659
Wed,3,10,14703
Wed,3,11,18270
Wed,3,12,21089
Wed,3,13,21045
Wed,3,14,20998
Wed,3,15,27122
Wed,3,16,52924
Wed,3,17,75985
Wed,3,18,47870
Wed,3,19,31230
Wed,3,20,19621
Wed,3,21,14349
Wed,3,22,9624
Wed,3,23,4825
Thu,4,0,2187
Thu,4,1,1238
Thu,4,2,647
Thu,4,3,427
Thu,4,4,887
Thu,4,5,5427
Thu,4,6,16919
Thu,4,7,38700
Thu,4,8,47841
Thu,4,9,20786
Thu,4,10,14661
Thu,4,11,18657
Thu,4,12,21962
Thu,4,13,21460
Thu,4,14,21626
Thu,4,15,28405
Thu,4,16,52199
Thu,4,17,72975
Thu,4,18,49167
Thu,4,19,31586
Thu,4,20,20279
Thu,4,21,15368
Thu,4,22,11649
Thu,4,23,6331
Fri,5,0,2954
Fri,5,1,1583
Fri,5,2,903
Fri,5,3,613
Fri,5,4,1034
Fri,5,5,5286
Fri,5,6,16082
Fri,5,7,36457
Fri,5,8,45833
Fri,5,9,21881
Fri,5,10,17565
Fri,5,11,22204
Fri,5,12,26666
Fri,5,13,27631
Fri,5,14,28842
Fri,5,15,36554
Fri,5,16,55253
Fri,5,17,58374
Fri,5,18,37887
Fri,5,19,24896
Fri,5,20,16403
Fri,5,21,12139
Fri,5,22,10240
Fri,5,23,7780
Sat,6,0,5364
Sat,6,1,3802
Sat,6,2,2309
Sat,6,3,1356
Sat,6,4,862
Sat,6,5,1747
Sat,6,6,3844
Sat,6,7,7711
Sat,6,8,14962
Sat,6,9,23512
Sat,6,10,31810
Sat,6,11,37615
Sat,6,12,40918
Sat,6,13,41765
Sat,6,14,40473
Sat,6,15,38586
Sat,6,16,36394
Sat,6,17,31509
Sat,6,18,27166
Sat,6,19,21683
Sat,6,20,15414
Sat,6,21,11780
Sat,6,22,10834
Sat,6,23,8501
Sun,7,0,5998
Sun,7,1,3767
Sun,7,2,2507
Sun,7,3,1462
Sun,7,4,912
Sun,7,5,1429
Sun,7,6,2722
Sun,7,7,5239
Sun,7,8,10170
Sun,7,9,16858
Sun,7,10,24650
Sun,7,11,31281
Sun,7,12,35865
Sun,7,13,36036
Sun,7,14,35977
Sun,7,15,36169
Sun,7,16,35005
Sun,7,17,31673
Sun,7,18,26369
Sun,7,19,20565
Sun,7,20,13499
Sun,7,21,9454
Sun,7,22,6777
Sun,7,23,4037
